path,width,height,mode,alpha_expected
assets/ui_assets/screens/main_menu/main_menu_play_button.png,360,104,RGBA,True
assets/ui_assets/screens/main_menu/main_menu_settings_button.png,360,104,RGBA,True
assets/ui_assets/screens/main_menu/main_menu_shop_button.png,360,104,RGBA,True
assets/ui_assets/screens/main_menu/main_menu_world_map_button.png,360,104,RGBA,True
assets/ui_assets/screens/main_menu/profile_frame.png,440,190,RGBA,True
assets/ui_assets/screens/milestones/button_claim.png,360,104,RGBA,True
assets/ui_assets/screens/milestones/button_continue.png,360,104,RGBA,True
assets/ui_assets/screens/milestones/island_complete_panel.png,440,190,RGBA,True
assets/ui_assets/screens/milestones/island_complete_ribbon.png,220,160,RGBA,True
assets/ui_assets/screens/milestones/milestone_banner.png,220,160,RGBA,True
assets/ui_assets/screens/milestones/milestone_chest_closed.png,128,128,RGBA,True
assets/ui_assets/screens/milestones/milestone_chest_open.png,128,128,RGBA,True
assets/ui_assets/screens/milestones/milestone_glow.png,220,160,RGBA,True
assets/ui_assets/screens/milestones/milestone_reward_panel.png,440,190,RGBA,True
assets/ui_assets/screens/milestones/next_island_unlock_frame.png,440,190,RGBA,True
assets/ui_assets/screens/milestones/reward_slot.png,440,190,RGBA,True
assets/ui_assets/screens/pause/button_quit.png,360,104,RGBA,True
assets/ui_assets/screens/pause/button_restart.png,128,128,RGBA,True
assets/ui_assets/screens/pause/button_resume.png,360,104,RGBA,True
assets/ui_assets/screens/pause/button_settings.png,360,104,RGBA,True
assets/ui_assets/screens/pause/button_world_map.png,360,104,RGBA,True
assets/ui_assets/screens/pause/pause_panel.png,440,190,RGBA,True
assets/ui_assets/screens/prelevel/booster_selector_panel.png,440,190,RGBA,True
assets/ui_assets/screens/prelevel/button_close_prelevel.png,360,104,RGBA,True
assets/ui_assets/screens/prelevel/button_play_level.png,360,104,RGBA,True
assets/ui_assets/screens/prelevel/level_number_badge.png,128,128,RGBA,True
assets/ui_assets/screens/prelevel/order_slot.png,440,190,RGBA,True
assets/ui_assets/screens/prelevel/prelevel_panel.png,440,190,RGBA,True
assets/ui_assets/screens/prelevel/timer_icon.png,128,128,RGBA,True
assets/ui_assets/screens/prelevel/timer_panel_small.png,440,190,RGBA,True
assets/ui_assets/screens/prelevel/vip_badge.png,128,128,RGBA,True
assets/ui_assets/screens/prelevel/vip_reward_slot.png,440,190,RGBA,True
assets/ui_assets/screens/results/button_add_time.png,360,104,RGBA,True
assets/ui_assets/screens/results/button_island_map.png,360,104,RGBA,True
assets/ui_assets/screens/results/button_next_level.png,360,104,RGBA,True
assets/ui_assets/screens/results/button_replay.png,360,104,RGBA,True
assets/ui_assets/screens/results/button_retry.png,360,104,RGBA,True
assets/ui_assets/screens/results/button_world_map_fail.png,360,104,RGBA,True
assets/ui_assets/screens/results/fail_timer_icon.png,128,128,RGBA,True
assets/ui_assets/screens/results/level_complete_panel.png,440,190,RGBA,True
assets/ui_assets/screens/results/level_complete_title.png,500,120,RGBA,True
assets/ui_assets/screens/results/level_failed_panel.png,440,190,RGBA,True
assets/ui_assets/screens/results/remaining_order_slot.png,440,190,RGBA,True
assets/ui_assets/screens/results/reward_slot.png,440,190,RGBA,True
assets/ui_assets/screens/results/score_summary_panel.png,440,190,RGBA,True
assets/ui_assets/screens/results/time_up_title.png,500,120,RGBA,True
assets/ui_assets/screens/results/video_ad_icon.png,128,128,RGBA,True
assets/ui_assets/screens/results/vip_complete_badge.png,128,128,RGBA,True
assets/ui_assets/screens/rewarded_ad/button_no_thanks.png,360,104,RGBA,True
assets/ui_assets/screens/rewarded_ad/button_watch_ad.png,360,104,RGBA,True
assets/ui_assets/screens/rewarded_ad/reward_ad_double_icon.png,128,128,RGBA,True
assets/ui_assets/screens/rewarded_ad/reward_ad_time_icon.png,128,128,RGBA,True
assets/ui_assets/screens/rewarded_ad/rewarded_ad_panel.png,440,190,RGBA,True
assets/ui_assets/screens/rewarded_ad/video_ad_icon.png,128,128,RGBA,True
assets/ui_assets/screens/settings/accessibility_icon.png,128,128,RGBA,True
assets/ui_assets/screens/settings/button_close_settings.png,360,104,RGBA,True
assets/ui_assets/screens/settings/haptic_icon.png,128,128,RGBA,True
assets/ui_assets/screens/settings/language_icon.png,128,128,RGBA,True
assets/ui_assets/screens/settings/music_icon.png,128,128,RGBA,True
assets/ui_assets/screens/settings/privacy_icon.png,128,128,RGBA,True
assets/ui_assets/screens/settings/restore_purchase_icon.png,128,128,RGBA,True
assets/ui_assets/screens/settings/settings_panel.png,440,190,RGBA,True
assets/ui_assets/screens/settings/slider_handle.png,128,128,RGBA,True
assets/ui_assets/screens/settings/slider_track.png,420,54,RGBA,True
assets/ui_assets/screens/settings/sound_icon.png,128,128,RGBA,True
assets/ui_assets/screens/settings/toggle_off.png,128,128,RGBA,True
assets/ui_assets/screens/settings/toggle_on.png,128,128,RGBA,True
assets/ui_assets/screens/shop/best_value_badge.png,128,128,RGBA,True
assets/ui_assets/screens/shop/button_buy.png,360,104,RGBA,True
assets/ui_assets/screens/shop/coin_pack_icon_large.png,128,128,RGBA,True
assets/ui_assets/screens/shop/coin_pack_icon_medium.png,128,128,RGBA,True
assets/ui_assets/screens/shop/coin_pack_icon_small.png,128,128,RGBA,True
assets/ui_assets/screens/shop/gem_pack_icon_large.png,128,128,RGBA,True
assets/ui_assets/screens/shop/gem_pack_icon_medium.png,128,128,RGBA,True
assets/ui_assets/screens/shop/gem_pack_icon_small.png,128,128,RGBA,True
assets/ui_assets/screens/shop/sale_badge.png,128,128,RGBA,True
assets/ui_assets/screens/shop/shop_background.png,720,1280,RGBA,True
assets/ui_assets/screens/shop/shop_header.png,500,120,RGBA,True
assets/ui_assets/screens/shop/shop_item_card.png,440,190,RGBA,True
assets/ui_assets/screens/shop/shop_item_card_featured.png,440,190,RGBA,True
assets/ui_assets/screens/shop/shop_tab_boosters.png,220,160,RGBA,True
assets/ui_assets/screens/shop/shop_tab_currency.png,220,160,RGBA,True
assets/ui_assets/screens/shop/shop_tab_special.png,220,160,RGBA,True
assets/ui_assets/screens/shop/starter_pack_badge.png,128,128,RGBA,True
